# chip table
# NumData 25
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       0,  [1939  828 1156 2363],    0.0
         2,      2,       0,  [ 802 1493 1464 2678],    0.0
         3,      3,       0,  [1457 1493  944 3507],    0.0
         4,      4,       0,  [ 976  703 1676 4354],    0.0
         5,      5,       0,  [1547 1450  451 2918],    0.0
         6,      6,       0,  [ 963 1432 2620 1747],    0.0
         7,      7,       0,  [ 282  430 4187 2145],    0.0
         8,      8,       0,  [ 687  472 2119 4335],    0.0
         9,      9,       0,  [1374  584 1798 3006],    0.0
        10,     10,       0,  [ 571 1377 1676 3661],    0.0
        11,     11,       0,  [ 610  568 2428 4470],    0.0
        12,     12,       0,  [1072 1820 1272 2486],    0.0
        13,     13,       0,  [ 629  895 2370 4239],    0.0
        14,     14,       0,  [1901 2418 1638 3006],    0.0
        15,     15,       0,  [1130 2013 1079 2312],    0.0
        16,     16,       0,  [ 860 1994 1214 3141],    0.0
        17,     17,       0,  [2235  417  835 2094],    0.0
        18,     18,       0,  [ 513  915 2466 3603],    0.0
        19,     19,       0,  [ 436 1146 2543 3969],    0.0
        20,     20,       0,  [2414 1162  706 2119],    0.0
        21,     21,       0,  [1644  430 1721 2710],    0.0
        22,     22,       0,  [ 667  568 1927 4875],    0.0
        23,     23,       0,  [1066  481 2171 3147],    0.0
        24,     24,       0,  [2003 1059 1310 1503],    0.0
        25,     25,       0,  [ 879 1127 2216 4027],    0.0
