# chip table
# NumData 75
#   ChipID,  ImgID,  NameID,  roi[tl_x  tl_y  w  h],  theta
         1,      1,       0,  [1939  828 1156 2363],    0.0
         2,      2,       0,  [ 802 1493 1464 2678],    0.0
         3,      3,       0,  [1457 1493  944 3507],    0.0
         4,      4,       0,  [ 976  703 1676 4354],    0.0
         5,      5,       0,  [1547 1450  451 2918],    0.0
         6,      6,       0,  [ 963 1432 2620 1747],    0.0
         7,      7,       0,  [ 282  430 4187 2145],    0.0
         8,      8,       0,  [ 687  472 2119 4335],    0.0
         9,      9,       0,  [1374  584 1798 3006],    0.0
        10,     10,       0,  [ 571 1377 1676 3661],    0.0
        11,     11,       0,  [ 610  568 2428 4470],    0.0
        12,     12,       0,  [1072 1820 1272 2486],    0.0
        13,     13,       0,  [ 629  895 2370 4239],    0.0
        14,     14,       0,  [1901 2418 1638 3006],    0.0
        15,     15,       0,  [1130 2013 1079 2312],    0.0
        16,     16,       0,  [ 860 1994 1214 3141],    0.0
        17,     17,       0,  [2235  417  835 2094],    0.0
        18,     18,       0,  [ 513  915 2466 3603],    0.0
        19,     19,       0,  [ 436 1146 2543 3969],    0.0
        20,     20,       0,  [2414 1162  706 2119],    0.0
        21,     21,       0,  [1644  430 1721 2710],    0.0
        22,     22,       0,  [ 667  568 1927 4875],    0.0
        23,     23,       0,  [1066  481 2171 3147],    0.0
        24,     24,       0,  [2003 1059 1310 1503],    0.0
        25,     25,       0,  [ 918 1897 2197 1368],    0.0
        26,     26,       0,  [1978  931 1246 1811],    0.0
        27,     27,       0,  [  32 1647 3121 3083],    0.0
        28,     28,       0,  [ 956  606 1233 4451],    0.0
        29,     29,       0,  [ 976  391 4021 3198],    0.0
        30,     30,       0,  [1811 1021 1516 1464],    0.0
        31,     31,       0,  [ 995  529 1503 4894],    0.0
        32,     32,       0,  [ 610 1184 3006 2563],    0.0
        33,     33,       0,  [ 822 1570 1965 2697],    0.0
        34,     34,       0,  [ 263  375 2832 4277],    0.0
        35,     35,       0,  [ 166  202 3449 4855],    0.0
        36,     36,       0,  [ 879  125 1715 5299],    0.0
        37,     37,       0,  [  89  664 2119 4451],    0.0
        38,     38,       0,  [2312  353 2428 3224],    0.0
        39,     39,       0,  [2633  468 1978 2980],    0.0
        40,     40,       0,  [ 571 1050 2871 4123],    0.0
        41,     41,       0,  [ 616   32 4277 3584],    0.0
        42,     42,       0,  [ 358  171 1474 1310],    0.0
        43,     43,       0,  [ 559   76 1320 1289],    0.0
        44,     44,       0,  [ 116  400 1379 1830],    0.0
        45,     45,       0,  [   5  209 1101 2028],    0.0
        46,     46,       0,  [   5   99 1291 2115],    0.0
        47,     47,       0,  [ 139  154 1157 1973],    0.0
        48,     48,       0,  [ 433  114  531 2115],    0.0
        49,     49,       0,  [ 490  118 1595 1363],    0.0
        50,     50,       0,  [ 237   13 1796 1363],    0.0
        51,     51,       0,  [  -1  198 1960 1283],    0.0
        52,     52,       0,  [   5  146 1410 2076],    0.0
        53,     53,       0,  [ 491  247  532 1834],    0.0
        54,     54,       0,  [ 242  233 1236 2004],    0.0
        55,     55,       0,  [ 242  138  982 1949],    0.0
        56,     56,       0,  [ 475  102 1764 1384],    0.0
        57,     57,       0,  [ 242   97 1627 1225],    0.0
        58,     58,       0,  [ 155  479 1339 1727],    0.0
        59,     59,       0,  [ 195  209 1299 2020],    0.0
        60,     60,       0,  [  52   67 1363 2099],    0.0
        61,     61,       0,  [  91  262 1390 1826],    0.0
        62,     62,       0,  [ 353  138  634 1989],    0.0
        63,     63,       0,  [  13  170 1165 1957],    0.0
        64,     64,       0,  [  92  178 1339 1909],    0.0
        65,     65,       0,  [   5  118 1870 1363],    0.0
        66,     66,       0,  [   4  129 1632 1357],    0.0
        67,     67,       0,  [ 171  146 1315 2092],    0.0
        68,     68,       0,  [   5  487 1355 1735],    0.0
        69,     69,       0,  [ 459    7 1790 1299],    0.0
        70,     70,       0,  [ 586  319 1658  988],    0.0
        71,     71,       0,  [  47  129 1854 1357],    0.0
        72,     72,       0,  [   5  241 1260 1996],    0.0
        73,     73,       0,  [ 328   11 1161 1960],    0.0
        74,     74,       0,  [ 314  257  879 1973],    0.0
        75,     75,       0,  [ 472  114  618 2004],    0.0
